Location,Country,DZ,Latitude,Longitude,Elevation (m)
Eschbach,Germany,Skyhigh e.V. – Fallschirmsport Eschbach,47.901239,7.622785,212
Gading,Indonesia,,-7.91647034,110.5657142,214
Ashburton,New Zealand,,-43.90432806,171.8039095,91
Bryansk,Russia,,53.33663265,34.23449278,155
Padinska Skela,Serbia,,44.9352382,20.44374347,71
Davidovac,Serbia,,43.86637658,21.48231089,161
Sem,Norway,,59.29872455,10.36903381,10
Durham,UK,,54.76464192,-1.38691127,140
Hibaldstow,UK,Skydive Hibaldstow,53.5003321,-0.52205443,9
Turinskaya Sloboda,Russia,,57.60180137,64.36770558,71
Orange,United States,Skydive Orange,42.5667833,-72.28667021,169
Thalmaessing,Germany,,49.06426607,11.20835334,577
Chaspuzac,France,,45.07689403,3.76042753,832
Ksaverivka,Ukraine,,50.00461536,30.19778967,185
Alavus,Finland,,62.55523553,23.57099533,124
Baldwin,United States,Skydive Twin Cities,44.96450472,-92.39083797,336
Vinemont,United States,Skydive Alabama,34.26740468,-86.85919762,295
Luling,United States,Skydive Lone Star,29.7280624,-97.6579535,145
Holdrege,United States,Skydive Atlas,40.44862897,-99.33970928,705
Tallard,France,,44.45565949,6.03594124,599
Ray,United States,Midwest Freefall,42.75950473,-82.9423812,207
Pori,Finland,Satakunnan Laskuvarjourheilijat ry,61.46263073,21.80530787,14
Lobos,Argentina,,-35.21328493,-59.13340151,30
Rosario,Argentina,Skydive Rosario,-33.05165003,-60.60109019,26
Bell Ville,Argentina,,-32.65829576,-62.70084679,130
Whitewright,United States,Skydive Spaceland Dallas,33.44915891,-96.37770295,241
Neustadt-Glewe,Germany,Skydiving Club Mecklenburg e.V.,53.3634731,11.6067338,35
Rayong,Thailand,,12.710747,101.628877,5
Santa Fe,Argentina,,-32.81409475,-61.3676548,89
Swakopmund,Namibia,,-22.65932889,14.5646739,59
Paarl,South Africa,,-33.57674993,18.91567826,85
Pucon,Chile,,-39.29121996,-71.91870332,260
Morelos,Mexico,,18.70198969,-98.89203787,1224
Monchy-Lagache,France,,49.87389553,3.03537206,295
Rodby,Denmark,Faldskaermsklubben.dk,54.69961,11.437447,5
Grenchen,Switzerland,Skydive Grenchen,47.181646,7.417192,430
Middletown,United States,Start Skydiving,39.5318056,-84.3964444,198
Cedartown,United States,Skydive Georgia,34.0186944,-85.1464722,297
Locarno,Switzerland,,46.165263,8.877822,198
Reichenbach,Switzerland,Skydive Switzerland,46.614984,7.6790313,723
Petersburg,United States,Skydive Rick's,40.9006164,-80.5553478,358
